Sample Antivirus Program Log.
Created On: 08/12/2018

Directory: E:\Xcluded\Samples

Start: 

Scanning: E:\Xcluded\Samples\af8d0e94fef24434add93aa483a05fd8
Infected: Trojan-PWS.Win32.Kykymber

Scanning: E:\Xcluded\Samples\6e8c9a38efcf4a278101064b487810d4
Infected: Riskware/MyWebSearch

Scanning: E:\Xcluded\Samples\67696134202a4da5a95a234f6086ad9e
Infected: Hacktool.IdleKMS.C.gfky

Scanning: E:\Xcluded\Samples\61096b1831b84c4b95f71dc6c3892464
Infected: Adware.Win32.Agent

Scanning: E:\Xcluded\Samples\ba84a42ec26e4c78a1951044b724b596
Infected: Troj/Keygen-DX

Scanning: E:\Xcluded\Samples\8ea36baf44ed420dbeed31e3aa2dbe24
Infected: Adware.SearchProtect.2

Scanning: E:\Xcluded\Samples\e88d4e051e104b3f9d3b81d3e1b1da31
Infected: ADWARE/InstallRex.Q

Scanning: E:\Xcluded\Samples\0181a9ff3b3d49e8ae5ca3daf22281db
Infected: Trojan/Win32.SGeneric

Scanning: E:\Xcluded\Samples\8a72c3c9f0f54141b56112187b3a2822
Infected: Trojan/Win32.Bladabindi

Scanning: E:\Xcluded\Samples\4ad038f85cf741b8a1f4e8f3f544051f
Infected: Trojan.ADRD

Scanning: E:\Xcluded\Samples\d1322c2cceef4f2e90bf2324f9d94641
Infected: Troj/Keygen-DX

Scanning: E:\Xcluded\Samples\e3362009388843e281259d818da5a9bf
Infected: Trojan.GenericKD.30788163 (B)

Scanning: E:\Xcluded\Samples\0670dad5dc454a7cbd810c855402d3bd
Infected: Win32.Madang.C

Scanning: E:\Xcluded\Samples\d5b5676afce741a88773bdccd88d785e
Infected: Trojan/Win32.Agent

Scanning: E:\Xcluded\Samples\70d2d51b6a33412ab107e4bbaacf9aa5
Infected: ADWARE/Adware.Gen

Scanning: E:\Xcluded\Samples\7db352238ba64872bed1ba05769e8de2
Infected: Trojan.GenericKD.30788163 (B)

Scanning: E:\Xcluded\Samples\acda491c85c8497195db6c86c4628257
Infected: ADWARE/InstallRex.Q

Scanning: E:\Xcluded\Samples\b163ff1783304f9fbefd2da43904b81e
Infected: Adware.SearchProtect.ky.tmre

Scanning: E:\Xcluded\Samples\ea4aa2f32c8547539e2b43e779292fa0
Infected: Skodna.Bundle.BD

Scanning: E:\Xcluded\Samples\f64c11f938984a7fadaf172c2b489eff
Infected: Win32.Madang.C

Scanning: E:\Xcluded\Samples\878666d3844f4914bf23974a62785979
Infected: Adware.MAC.OSX.Genieo.BU

Scanning: E:\Xcluded\Samples\03ca2b745dc04ce8bab5cd0119ffa0a8
Infected: Trojan.Miner.ZZ2

Scanning: E:\Xcluded\Samples\39e9b3103e9041bb8d0577939c9c59b0
Infected: Trojan.GenericKD.30788163 (B)

Scanning: E:\Xcluded\Samples\08f72ccffae14a619a0188bcbdd40506
Infected: Skodna.Bundle.BD

Scanning: E:\Xcluded\Samples\e0ffe5fb2b1a46e5816546b4a3c402ad
Infected: Win32.Madang.C

Scanning: E:\Xcluded\Samples\4a14890b0bd447398b48da6f3923377f
Infected: Trojan.Mauvasie

Scanning: E:\Xcluded\Samples\58139c9a79754c428518a6cf7ffc6a9f
Infected: MyPCBackup.E.foha

Scanning: E:\Xcluded\Samples\edaaf976b0e84aab915da2b0d6b3769c
Infected: Trojan.GenericKD.30788163

Scanning: E:\Xcluded\Samples\6e30128fd7034e4c81436bcb7ba2b68c
Infected: Adware.MAC.OSX.Genieo.BU

Scanning: E:\Xcluded\Samples\e38965f147cf4743ba4b43fc33b6b53c
Infected: Adware.SearchProtect.ky.tmre

Scanning: E:\Xcluded\Samples\2464707502d44306980d0d600b682111
Infected: Adware.Suptab.Aq	

Scanning: E:\Xcluded\Samples\a1cf9a1558974471bd06b3492686d02f
Infected: Win32.Madang.C

Scanning: E:\Xcluded\Samples\7db384f0aed34f9f89f1659cb7d803c2
Infected: Adware.WProtManager.Win32.21

Scanning: E:\Xcluded\Samples\ffbd16f918bf47f2a3a90969343066e0
Infected: Trojan.Mauvasie

Scanning: E:\Xcluded\Samples\fe1cb04dcd754622aca8a5983d3c973e
Infected: Trojan/Win32.Agent

Scanning: E:\Xcluded\Samples\bdca548c530a42b293732c3eabf50f6a
Infected: Skodna.Bundle.BD

Scanning: E:\Xcluded\Samples\f74cce70580e493a8a799a3bf223957d
Infected: Adware/Agent.lmx	

Scanning: E:\Xcluded\Samples\5afd84a2507640bd96085c25eb6b1947
Infected: Trojan.ADRD

Scanning: E:\Xcluded\Samples\0f95d85cae4142f7896b0db5b1c995e4
Infected: Trojan.GenericKD.30788163 (B)

Scanning: E:\Xcluded\Samples\ee387c8acf404e85a76dc97363944165
Infected: Trojan.ADRD

Scanning: E:\Xcluded\Samples\33f713ee024547c39e61c3ffc9b79c3f
Infected: Application.Agent.HN

Scanning: E:\Xcluded\Samples\acf575f82c4c457799502bc0063c76e6
Infected: JS/Exploit-Blacole.jf

Scanning: E:\Xcluded\Samples\4fb1350deed942b5905931de2ca33b3b
Infected: ADWARE/Adware.Gen

Scanning: E:\Xcluded\Samples\2fa258e9af0f4ce09803404659c0a17c
Infected: Trojan/Win32.SGeneric

Scanning: E:\Xcluded\Samples\6d4c4ccc63624b4a9f55458c73352691
Infected: Gandcrab.Ransomware

Scanning: E:\Xcluded\Samples\b9172854d0b041f4a590e2f74011d8e6
Infected: Troj/Keygen-DX

Scanning: E:\Xcluded\Samples\93eda363418f498da44bc8c36c25cae0
Infected: Adware.MAC.OSX.Genieo.BU

Scanning: E:\Xcluded\Samples\e7162e735a5a44068fb926f23e1add0a
Infected: Adware.WProtManager.Win32.21

